gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,77.92,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,215.20,1391,149,20600,26100,462.0,0.455,2,0,0,0
mp40,0,fixed,,20260729,11-15,5,555.02,3853,253,46630,424080,7520.0,0.940,12,0,0,0
mp40,0,fixed,,20260729,16-20,5,1319.32,9259,372,96230,1407384,24855.6,0.980,34,0,0,0
mp40,0,fixed,,20260729,all,20,2167.45,14741,831,169350,1857564,32837.5,0.594,48,0,0,0
mp40,0,legacy,,20260729,1-5,5,76.15,238,57,5890,0,0.0,0.000,0,0,0,0
mp40,0,legacy,,20260729,6-10,5,229.22,1380,149,20070,35676,635.3,0.494,2,0,0,0
mp40,0,legacy,,20260729,11-15,5,610.60,3845,253,46330,484176,8600.7,0.951,12,0,0,0
mp40,0,legacy,,20260729,16-20,5,1451.17,9261,372,95830,1560984,27575.4,0.982,34,0,0,0
mp40,0,legacy,,20260729,all,20,2367.13,14724,831,168120,2080836,36811.4,0.607,48,0,0,0
ak74u,0,fixed,,20260729,1-5,5,75.87,201,57,5250,0,0.0,0.000,0,0,0,0
ak74u,0,fixed,,20260729,6-10,5,202.85,1092,149,18470,15984,282.2,0.378,1,0,0,0
ak74u,0,fixed,,20260729,11-15,5,526.53,3048,253,40360,390576,6918.2,0.938,8,0,0,0
ak74u,0,fixed,,20260729,16-20,5,1203.03,7079,372,80080,1267980,22400.3,0.979,24,0,0,0
ak74u,0,fixed,,20260729,all,20,2008.28,11420,831,144160,1674540,29600.7,0.574,33,0,0,0
ak74u,0,legacy,,20260729,1-5,5,77.88,201,57,5250,0,0.0,0.000,0,0,0,0
ak74u,0,legacy,,20260729,6-10,5,215.22,1092,149,18310,25476,440.9,0.460,1,0,0,0
ak74u,0,legacy,,20260729,11-15,5,569.78,3048,253,40400,442956,7846.3,0.947,8,0,0,0
ak74u,0,legacy,,20260729,16-20,5,1304.52,7079,372,80080,1386648,24488.0,0.980,24,0,0,0
