gun,pap,cadence,perks,seed,band,rounds,clear_s,shots,kills,points,damage_taken,contact_zsec,mean_contact_frac,refills,trap_buys,trap_kills,trap_spend
mp40,0,fixed,,20260729,1-5,5,78.72,250,57,5730,0,0.0,0.000,0,0,0,0
mp40,0,fixed,,20260729,6-10,5,229.83,1535,149,20630,44436,782.0,0.529,3,0,0,0
mp40,0,fixed,,20260729,11-15,5,611.32,4251,253,45820,493368,8750.6,0.954,13,0,0,0
mp40,0,fixed,,20260729,16-20,5,1460.15,10290,372,95870,1567716,27718.3,0.983,37,0,0,0
mp40,0,fixed,,20260729,all,20,2380.02,16326,831,168050,2105520,37250.8,0.616,53,0,0,0
mp40,0,legacy,,20260729,1-5,5,74.97,250,57,5730,0,0.0,0.000,0,0,0,0
mp40,0,legacy,,20260729,6-10,5,253.45,1535,149,20550,57456,1020.1,0.582,3,0,0,0
mp40,0,legacy,,20260729,11-15,5,671.07,4251,253,45900,561312,9959.0,0.959,13,0,0,0
mp40,0,legacy,,20260729,16-20,5,1606.62,10290,372,95870,1736772,30713.1,0.984,37,0,0,0
mp40,0,legacy,,20260729,all,20,2606.10,16326,831,168050,2355540,41692.2,0.631,53,0,0,0
ak74u,0,fixed,,20260729,1-5,5,76.70,211,57,5300,0,0.0,0.000,0,0,0,0
ak74u,0,fixed,,20260729,6-10,5,221.88,1201,149,17830,26556,463.1,0.447,2,0,0,0
ak74u,0,fixed,,20260729,11-15,5,577.53,3362,253,39890,458028,8120.1,0.944,10,0,0,0
ak74u,0,fixed,,20260729,16-20,5,1333.07,7864,372,79700,1422876,25145.3,0.981,27,0,0,0
ak74u,0,fixed,,20260729,all,20,2209.18,12638,831,142720,1907460,33728.5,0.593,39,0,0,0
ak74u,0,legacy,,20260729,1-5,5,78.88,211,57,5300,0,0.0,0.000,0,0,0,0
ak74u,0,legacy,,20260729,6-10,5,233.52,1201,149,17870,34896,616.4,0.507,2,0,0,0
ak74u,0,legacy,,20260729,11-15,5,625.50,3362,253,39890,514116,9115.5,0.950,10,0,0,0
ak74u,0,legacy,,20260729,16-20,5,1446.18,7864,372,79700,1553520,27458.2,0.983,27,0,0,0
ak74u,0,legacy,,20260729,all,20,2384.08,12638,831,142760,2102532,37190.1,0.610,39,0,0,0
m16,0,fixed,,20260729,1-5,5,78.08,181,57,5050,0,0.0,0.000,0,0,0,0
m16,0,fixed,,20260729,6-10,5,193.00,1020,149,17000,11640,201.9,0.311,1,0,0,0
m16,0,fixed,,20260729,11-15,5,495.95,2875,253,35920,356364,6330.8,0.936,8,0,0,0
m16,0,fixed,,20260729,16-20,5,1121.23,6589,372,70760,1176936,20780.7,0.977,21,0,0,0
m16,0,fixed,,20260729,all,20,1888.27,10665,831,128730,1544940,27313.4,0.556,30,0,0,0
m16,0,legacy,,20260729,1-5,5,76.12,181,57,5050,0,0.0,0.000,0,0,0,0
m16,0,legacy,,20260729,6-10,5,195.45,1020,149,17000,12972,226.1,0.330,1,0,0,0
m16,0,legacy,,20260729,11-15,5,503.10,2875,253,35920,365964,6489.2,0.937,8,0,0,0
m16,0,legacy,,20260729,16-20,5,1136.17,6589,372,70760,1194072,21088.1,0.977,21,0,0,0
m16,0,legacy,,20260729,all,20,1910.83,10665,831,128730,1573008,27803.4,0.561,30,0,0,0
rpk,0,fixed,,20260729,1-5,5,83.75,202,57,5300,108,2.5,0.057,0,0,0,0
rpk,0,fixed,,20260729,6-10,5,179.57,1133,149,17570,4080,74.2,0.256,0,0,0,0
rpk,0,fixed,,20260729,11-15,5,441.82,3126,253,38630,292500,5169.3,0.923,5,0,0,0
rpk,0,fixed,,20260729,16-20,5,994.67,7337,372,75880,1043148,18424.7,0.976,16,0,0,0
rpk,0,fixed,,20260729,all,20,1699.80,11798,831,137380,1339836,23670.7,0.553,21,0,0,0
rpk,0,legacy,,20260729,1-5,5,85.93,202,57,5300,108,2.5,0.056,0,0,0,0
rpk,0,legacy,,20260729,6-10,5,190.17,1133,149,17610,7236,132.5,0.321,0,0,0,0
rpk,0,legacy,,20260729,11-15,5,483.92,3126,253,38870,346008,6127.7,0.938,5,0,0,0
rpk,0,legacy,,20260729,16-20,5,1095.22,7337,372,75800,1161492,20510.4,0.978,16,0,0,0
rpk,0,legacy,,20260729,all,20,1855.23,11798,831,137580,1514844,26773.0,0.573,21,0,0,0
pm63,0,fixed,,20260729,1-5,5,78.97,303,57,6030,36,0.8,0.017,0,0,0,0
pm63,0,fixed,,20260729,6-10,5,278.18,1832,149,22860,78516,1385.9,0.693,6,0,0,0
pm63,0,fixed,,20260729,11-15,5,736.78,4994,253,51810,637332,11296.4,0.962,23,0,0,0
pm63,0,fixed,,20260729,16-20,5,1747.53,12011,372,108860,1902612,33659.7,0.986,57,0,0,0
pm63,0,fixed,,20260729,all,20,2841.47,19140,831,189560,2618496,46342.8,0.665,86,0,0,0
pm63,0,legacy,,20260729,1-5,5,80.67,303,57,6030,72,1.1,0.022,0,0,0,0
pm63,0,legacy,,20260729,6-10,5,289.78,1832,149,22860,88788,1570.2,0.731,6,0,0,0
pm63,0,legacy,,20260729,11-15,5,768.33,4994,253,51810,671904,11912.9,0.964,23,0,0,0
pm63,0,legacy,,20260729,16-20,5,1821.92,12011,372,108860,1987680,35182.8,0.987,57,0,0,0
pm63,0,legacy,,20260729,all,20,2960.70,19140,831,189560,2748444,48666.9,0.676,86,0,0,0
m1911,0,fixed,,20260729,1-5,5,130.23,387,57,6750,12132,218.5,0.386,2,0,0,0
m1911,0,fixed,,20260729,6-10,5,754.10,2353,149,26100,507948,9043.6,0.951,27,0,0,0
m1911,0,fixed,,20260729,11-15,5,2077.22,6506,253,62000,2063784,36637.5,0.988,78,0,0,0
m1911,0,fixed,,20260729,16-20,5,5000.68,15689,372,134850,5619552,99963.5,0.995,193,0,0,0
m1911,0,fixed,,20260729,all,20,7962.23,24935,831,229700,8203416,145863.1,0.830,300,0,0,0
m1911,0,legacy,,20260729,1-5,5,131.83,387,57,6750,12684,227.9,0.390,2,0,0,0
m1911,0,legacy,,20260729,6-10,5,764.28,2353,149,26100,516540,9201.3,0.952,27,0,0,0
m1911,0,legacy,,20260729,11-15,5,2105.55,6506,253,62000,2093616,37169.4,0.989,78,0,0,0
m1911,0,legacy,,20260729,16-20,5,5069.18,15689,372,134850,5697792,101359.0,0.995,193,0,0,0
m1911,0,legacy,,20260729,all,20,8070.85,24935,831,229700,8320632,147957.5,0.832,300,0,0,0
